Date,Open,High,Low,Close,Volume,Adj Close
2013-02-13,75.67,75.83,74.63,74.78,4313500,74.06
2013-02-12,76.06,76.25,75.83,75.99,3597400,74.78
2013-02-11,76.42,76.44,75.85,75.87,3677100,74.66
2013-02-08,77.24,77.39,76.28,76.56,5100400,75.34
2013-02-07,76.32,77.54,76.28,77.43,7773000,76.20
2013-02-06,75.47,76.30,75.40,76.29,4716600,75.07
2013-02-05,75.69,76.98,75.61,75.89,6831200,74.68
2013-02-04,74.29,75.53,74.25,75.21,5799800,74.01
2013-02-01,74.49,75.07,74.23,74.87,6749300,73.68
2013-01-31,74.50,74.62,73.76,73.87,7639000,72.69
2013-01-30,74.42,74.75,73.73,74.59,10048600,73.40
2013-01-29,74.24,74.24,73.00,73.65,9296800,72.48
2013-01-28,73.90,74.65,73.89,74.00,7759000,72.82
2013-01-25,75.29,75.42,74.79,75.03,6163200,73.83
2013-01-24,74.41,75.54,74.41,75.32,7292200,74.12
2013-01-23,73.99,74.59,73.45,74.29,7784900,73.11
2013-01-22,74.12,74.27,73.77,74.16,9161900,72.98
2013-01-18,75.16,75.16,74.29,75.04,10829000,73.84
2013-01-17,72.78,75.63,72.68,75.26,21849200,74.06
2013-01-16,73.85,74.64,73.56,74.34,18212000,73.15
2013-01-15,76.21,76.98,76.18,76.94,3900600,75.71
2013-01-14,75.23,76.59,74.90,76.55,6221100,75.33
2013-01-11,75.71,76.10,74.60,75.16,9808500,73.96
2013-01-10,76.93,77.12,76.16,77.09,5026600,75.86
2013-01-09,74.92,76.81,74.91,76.76,10915800,75.54
2013-01-08,75.24,75.81,73.11,74.13,20268100,72.95
2013-01-07,77.54,77.69,75.34,76.13,7172600,74.92
2013-01-04,77.79,78.02,77.44,77.69,3431700,76.45
2013-01-03,76.99,77.98,76.37,77.47,3987000,76.23
2013-01-02,76.55,77.33,76.45,77.07,5036400,75.84
