Date,Open,High,Low,Close,Volume,Adj Close
2013-03-26,37.00,37.16,36.94,37.12,300100,37.12
2013-03-25,36.97,37.01,36.48,36.66,544700,36.66
2013-03-22,37.06,37.22,37.03,37.21,181600,37.21
2013-03-21,37.01,37.23,36.78,36.78,358600,36.78
2013-03-20,36.73,37.01,36.65,36.91,284300,36.91
2013-03-19,36.56,36.72,36.27,36.49,273900,36.49
2013-03-18,35.91,36.08,35.85,35.92,293200,35.92
2013-03-15,36.11,36.36,36.11,36.33,245000,36.33
2013-03-14,36.12,36.38,36.08,36.31,190900,36.31
2013-03-13,35.98,36.21,35.82,36.01,394800,36.01
2013-03-12,36.92,36.92,36.54,36.73,607300,36.73
2013-03-11,36.43,37.07,36.42,37.02,750900,37.02
2013-03-08,35.83,35.90,35.40,35.73,714700,35.73
2013-03-07,36.08,36.22,35.98,36.02,400700,36.02
2013-03-06,36.43,36.51,36.24,36.34,395700,36.34
2013-03-05,36.17,36.43,36.17,36.31,329400,36.31
2013-03-04,36.06,36.07,35.65,35.97,1148200,35.97
2013-03-01,36.45,36.73,36.24,36.71,577400,36.71
2013-02-28,36.32,36.60,36.12,36.37,476600,36.37
2013-02-27,35.20,35.78,35.20,35.67,533200,35.67
2013-02-26,36.27,36.39,35.79,36.04,934400,36.04
2013-02-25,35.81,35.98,35.02,35.06,911300,35.06
2013-02-22,35.76,35.95,35.58,35.90,473000,35.90
2013-02-21,35.33,35.38,34.90,35.21,473800,35.21
2013-02-20,36.09,36.11,35.47,35.47,561400,35.47
2013-02-19,35.77,36.28,35.66,35.99,780200,35.99
2013-02-15,35.35,35.54,35.35,35.49,723700,35.49
2013-02-14,35.24,35.40,35.22,35.28,309500,35.28
2013-02-13,35.19,35.22,34.96,35.20,1239900,35.20
2013-02-12,35.20,35.24,34.96,35.01,881900,35.01
2013-02-11,35.33,35.35,35.11,35.20,600300,35.20
2013-02-08,34.74,34.97,34.69,34.82,282700,34.82
2013-02-07,35.46,35.51,34.85,35.14,870800,35.14
2013-02-06,36.08,36.10,35.77,35.94,1314300,35.94
2013-02-05,36.22,36.46,36.15,36.35,1056100,36.35
2013-02-04,35.66,35.67,35.23,35.27,507500,35.27
2013-02-01,35.97,36.54,35.89,36.43,849100,36.43
2013-01-31,36.86,36.95,36.44,36.57,767600,36.57
2013-01-30,37.06,38.75,37.02,37.93,1189300,37.93
2013-01-29,36.22,36.48,36.22,36.30,566200,36.30
2013-01-28,36.69,36.72,36.33,36.41,1606500,36.41
2013-01-25,37.37,37.40,36.92,37.00,1088600,37.00
2013-01-24,37.18,37.47,37.12,37.15,918300,37.15
2013-01-23,36.95,37.16,36.75,36.96,660800,36.96
2013-01-22,36.47,36.64,36.14,36.37,1460100,36.37
2013-01-18,37.71,37.74,37.39,37.69,1258200,37.69
2013-01-17,37.19,38.31,37.06,37.80,1329000,37.80
2013-01-16,36.81,37.69,36.75,37.10,645800,37.10
2013-01-15,37.97,38.16,37.87,38.12,309800,38.12
2013-01-14,38.56,38.56,38.25,38.29,379000,38.29
2013-01-11,38.35,38.40,38.10,38.15,868700,38.15
2013-01-10,37.64,37.93,37.45,37.90,1806500,37.90
2013-01-09,37.68,37.92,37.63,37.76,731800,37.76
2013-01-08,38.07,38.12,37.69,37.95,979300,37.95
2013-01-07,39.01,39.15,38.10,38.55,1374700,38.55
2013-01-04,39.06,39.44,39.00,39.25,429300,39.25
2013-01-03,39.99,40.43,39.78,40.00,594900,40.00
2013-01-02,40.03,40.23,39.86,40.14,301700,40.14
